,mean,mean,sum,sum,count,count
,price,rating_count_tot,price,rating_count_tot,price,rating_count_tot
prime_genre,,,,,,
Book,1.7905357142857155,5125.4375,200.54000000000013,574049,112,112
Business,5.116315789473685,4788.087719298245,291.63000000000005,272921,57,57
Catalogs,0.799,1732.5,7.99,17325,10,10
Education,4.028233995584995,2239.2295805739514,1824.790000000003,1014371,453,453
Entertainment,0.8897009345794415,7533.678504672897,475.9900000000012,4030518,535,535
Finance,0.42115384615384627,11047.653846153846,43.80000000000001,1148956,104,104
Food & Drink,1.5523809523809518,13938.619047619048,97.79999999999995,878133,63,63
Games,1.4329233557741567,13691.996633868463,5533.949999999793,52878491,3862,3862
Health & Fitness,1.9164444444444473,9913.172222222222,344.9600000000005,1784371,180,180
Lifestyle,0.8854166666666661,6161.763888888889,127.49999999999991,887294,144,144
Medical,8.77608695652174,592.7826086956521,201.85000000000002,13634,23,23
Music,4.835434782608699,28842.021739130436,667.2900000000004,3980199,138,138
Navigation,4.1247826086956545,11853.95652173913,189.74000000000012,545282,46,46
News,0.5177333333333334,13015.066666666668,38.830000000000005,976130,75,75
Photo & Video,1.4732951289398313,14352.280802292264,514.1800000000011,5008946,349,349
Productivity,4.3305617977528135,8051.3258426966295,770.8400000000008,1433136,178,178
Reference,4.836875000000003,22410.84375,309.5600000000002,1434294,64,64
Shopping,0.016311475409836067,18615.32786885246,1.99,2271070,122,122
Social Networking,0.3398802395209582,45498.89820359281,56.76000000000002,7598316,167,167
Sports,0.9530701754385958,14026.929824561403,108.64999999999992,1599070,114,114
Travel,1.1203703703703698,14129.444444444445,90.74999999999996,1144485,81,81
Utilities,1.6476209677419387,6863.822580645161,408.6100000000008,1702228,248,248
Weather,1.6054166666666658,22181.027777777777,115.58999999999993,1597034,72,72
