,id,track_name,size_bytes,ver,prime_genre,ipadSc_urls.num,price
0,281656475,PAC-MAN Premium,100788224,6,Games,5,3.99
5,283619399,Shanghai Mahjong,10485713,1,Games,5,0.99
8,284666222,PCalc - The Best Calculator,49250304,3,Utilities,5,9.99
9,284736660,Ms. PAC-MAN,70023168,4,Games,0,3.99
10,284791396,Solitaire by MobilityWare,49618944,4,Games,4,4.99
11,284815117,SCRABBLE Premium,227547136,5,Games,0,7.99
14,284862767,FreeCell,55153664,4,Games,5,4.99
19,285005463,Crash Bandicoot Nitro Kart 3D,10735026,1,Games,0,2.99
20,285946052,iQuran,70707916,3,Reference,0,1.99
21,285994151,:) Sudoku +,6169600,5,Games,5,2.99
23,286070473,Mileage Log | Fahrtenbuch,71203840,9,Business,5,5.99
24,286799607,Cleartune - Chromatic Tuner,11423008,2,Music,2,3.99
28,288120394,TouchOSC,4263936,1,Music,1,4.99
29,288419283,RadarScope,172772352,3,Weather,5,9.99
31,289084315,Period Tracker Deluxe,40216576,9,Health & Fitness,0,1.99
32,289446241,Election 2016 Map,2386944,5,Entertainment,1,0.99
34,289894882,White Noise,44129280,7,Health & Fitness,5,0.99
36,290807369,Line Rider iRide™,1646592,2,Entertainment,0,1.99
37,290986013,Deliveries: a package tracker,30016512,8,Utilities,4,4.99
38,291430598,Hurricane Pro,29518848,5,Weather,0,2.99
39,292421271,Fieldrunners,66872320,1,Games,0,2.99
40,292628469,Juxtaposer,45229056,3,Photo & Video,5,2.99
42,293118835,iStellar,44241920,2,Navigation,0,3.99
44,293573778,Avertinoo,8044544,3,Navigation,5,4.99
46,293760823,iFart - The Original Fart Sounds App,60320768,4,Entertainment,5,1.99
49,294536447,First Words Animals,32164864,7,Games,5,1.99
50,294631159,WeatherPro,69079040,4,Weather,0,1.99
51,294934058,HotSchedules,82037760,4,Business,2,2.99
52,295430577,Star Walk - Find Stars And Planets in Sky Above,150195200,7,Education,0,4.99
54,295759189,Big Day - Event Countdown,13156352,8,Lifestyle,0,0.99
55,295775656,12 Steps AA Companion - Alcoholics Anonymous,30367744,2,Lifestyle,5,2.99
57,297244048,VLC Remote,31505408,9,Entertainment,5,4.99
58,297332787,gFlashPro - Flashcards & Tests,25997312,7,Education,3,3.99
61,297606726,Fish Tycoon,13564835,1,Games,0,0.99
63,297694601,Touchgrind,55205888,1,Games,0,4.99
64,298127110,ProPresenter Remote,46922752,4,Utilities,5,4.99
65,298206806,iReal Pro - Music Book & Play Along,63283200,7,Music,5,12.99
68,299029654,大辞林,210088960,4,Reference,5,21.99
71,299949744,MotionX GPS,56481792,2,Navigation,0,1.99
75,300265786,Rowmote: Remote Control for Mac,54088704,4,Utilities,3,0.99
76,300590611,Peekaboo Barn,50155520,5,Education,5,1.99
78,301387274,Pocket God,145293312,1,Entertainment,5,0.99
81,302049354,Phase 10 Pro - Play Your Friends!,66695168,3,Games,5,1.99
83,303058767,MASH,41691136,3,Games,3,1.99
85,303337299,Wedding Dash Deluxe,55803904,2,Games,4,0.99
87,304731501,Tempo - Metronome with Setlists,22185984,3,Music,5,2.99
88,304770340,Skat,66160640,11,Games,0,3.99
89,304871603,Color Splash,28135424,3,Photo & Video,0,0.99
90,304871622,Zombieville USA,27962441,1,Games,5,0.99
93,305557780,iSwap Faces,27069440,5,Photo & Video,5,1.99
95,306169895,Tozzle - Toddler's favorite puzzle,168192000,5,Games,5,2.99
96,306257910,HomeBudget with Sync,17485824,3,Finance,5,4.99
97,306375551,Wind Meter,5234688,5,Weather,0,0.99
98,306468004,Map My Run+ - GPS Running & Workout Tracker,237913088,1,Health & Fitness,0,2.99
99,306561234,Map My Ride+ - GPS Cycling & Route Tracker,233513984,1,Health & Fitness,0,2.99
101,306628397,Phrase Party!,47774720,8,Games,5,1.99
102,306937053,Minesweeper Classic,22259712,3,Games,4,0.99
103,307132353,Sally's Spa,431771648,3,Games,0,2.99
105,307219387,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,90828800,7,Health & Fitness,5,4.99
109,307727765,Doodle Jump,48741376,3,Games,0,0.99
110,307741537,LEDit – The LED Banner App,17145856,3,Utilities,4,1.99
113,308111628,iCab Mobile (Web Browser),19451904,9,Utilities,4,1.99
114,308339980,iRagdoll - Ragdoll Physics,118683648,1,Games,2,0.99
115,308368164,Proloquo2Go - Symbol-based AAC,723764224,5,Education,5,249.99
122,309527804,StickWars,17010688,1,Games,1,0.99
124,310303959,World Cup Table Tennis™,31387648,4,Games,0,0.99
126,310636441,"iStudiez Pro – Homework, Schedule, Grades",55815168,1,Productivity,5,2.99
128,310951782,2XL Supercross,270729216,1,Games,5,4.99
129,311466554,Pocket Tanks Deluxe,39827456,2,Games,5,4.99
134,312220102,MindNode – Delightful Mind Mapping,52294656,4,Productivity,4,9.99
135,312266675,Packing Pro,16332800,1,Travel,5,2.99
138,313199385,Sunday Lawn,16086016,1,Games,3,0.99
139,314303518,Peggle Classic,223805440,1,Games,0,0.99
140,314506629,SmartGo Player,22159360,2,Games,3,2.99
141,314652382,I Am T-Pain 2.0,20542280,2,Music,1,2.99
143,314819528,Boating Weather,8900608,4,Weather,0,1.99
145,314864297,I Dig It,19853312,1,Games,0,0.99
146,315021242,Unblock Me,42926080,1,Games,5,0.99
147,316025912,Sonic The Hedgehog,36692992,2,Games,5,2.99
148,316227296,10 Pin Shuffle Pro Bowling,36647936,2,Games,5,3.99
151,317809458,LiveATC Air Radio,8302592,1,Travel,5,3.99
152,317904170,The Sims 3,430128128,1,Games,5,6.99
153,318304532,"Chess Pro with Coach - Learn,Play & Online Friends",69960704,2,Games,5,9.99
155,318639200,Crush the Castle,12996628,1,Games,0,0.99
158,319295332,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,101925888,1,Music,4,9.99
162,320279293,NAVIGON Europe,144412672,2,Navigation,2,74.99
163,320300350,Virtual Families,27746273,1,Games,0,1.99
164,320596872,Sparkasse+,119648256,3,Finance,0,0.99
167,320636131,FACEinHOLE®,12818432,5,Photo & Video,5,0.99
168,320650307,Harvest - Select the Best Produce,18165760,3,Food & Drink,0,1.99
169,321369231,WORMS,253834240,2,Games,0,1.99
171,322423174,Traffic Rush,8573952,1,Games,3,0.99
173,322523436,Resident Evil 4: PLATINUM,81374398,1,Games,0,4.99
175,323242790,Cartoon Wars,13216994,1,Games,0,0.99
176,323438913,Moto X Mayhem,21010210,1,Games,0,0.99
177,324266640,Fantasy Football Manager - FFM for FPL,35998720,9,Sports,1,0.99
182,325683306,"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",123718656,5,Weather,2,1.99
183,325954996,Spider:  The Secret of Bryce Manor,126312448,1,Games,0,1.99
184,325962257,My Measures PRO,79882240,6,Productivity,5,7.99
185,326082487,Food Additives Checker (E Numbers),6418432,4,Health & Fitness,0,1.99
187,326574411,Baby Connect (Activity Log),12937216,5,Medical,0,4.99
190,326979430,BATTLE BEARS: Zombies!,103197675,1,Games,0,0.99
191,327193945,Hurricane Tracker,24574976,5,Weather,0,2.99
195,328011357,Wa Kingyo - Goldfish Pond,56397824,2,Entertainment,5,0.99
196,328205875,Monkey Preschool Lunchbox,229272576,4,Games,5,1.99
198,329127297,Gaia GPS Classic,53097472,10,Navigation,5,19.99
199,329174056,iLoan Calc (Loan calculator),3375104,5,Finance,5,3.99
201,329670577,Camera+,89187328,9,Photo & Video,0,1.99
202,329703516,Alter Ego,13647872,1,Games,5,4.99
203,329887910,Parking Mania,123544576,2,Games,0,0.99
204,329981776,Sudoku⁺,1608704,3,Games,5,2.99
206,330803072,Camera Plus: For Macro Photos & Remote Photography,101181440,4,Photo & Video,4,0.99
207,331004675,The perfect Egg timer,15329280,1,Food & Drink,4,0.99
208,331177703,Letter Quiz - alphabet tracing for kids,31845376,2,Games,5,1.99
211,331271904,Bloons TD,8432232,1,Games,0,2.99
216,333180061,Canabalt,27934720,2,Games,5,2.99
218,333246187,Scanner911 Pro,33812480,4,News,0,3.99
219,333263435,Daily Teachings,20298752,1,Lifestyle,0,4.99
220,333710667,Scanner Pro - PDF document scanner app with OCR,101346304,7,Business,5,3.99
226,334989259,WolframAlpha,30369792,1,Reference,5,2.99
227,335029050,Catan,376171520,4,Games,0,1.99
228,335047649,ScanBizCards Business Card Reader,96815104,6,Business,5,0.99
230,335545504,King of Dragon Pass,364490752,2,Games,5,9.99
231,335709058,Stylebook,44135424,7,Lifestyle,5,3.99
233,335862325,Blower,98942976,4,Entertainment,4,0.99
237,336347946,DOOM Classic,32796672,2,Games,3,4.99
240,336477530,Plane Finder - Flight Tracker,52632576,9,Navigation,3,3.99
242,336683524,iFiles,47323136,1,Productivity,1,0.99
243,336689375,TeachMe: Kindergarten,59846656,4,Education,5,1.99
244,336834650,Moorhuhn Deluxe - Crazy Chicken,27807744,2,Games,5,0.99
246,337021781,MONOPOLY Game,194386944,1,Games,0,0.99
248,337288863,Shazam Encore,147118080,1,Music,3,2.99
249,337402021,Harry Potter: Spells,125411328,2,Games,0,0.99
250,337462979,First Words Deluxe,63316992,7,Games,5,4.99
251,337571576,Clay Hunt,15313920,3,Games,5,0.99
253,337866370,Jet Car Stunts,32848910,1,Games,4,1.99
254,338057689,Call of Duty: Zombies,52821364,1,Games,0,4.99
259,339462921,CatPaint,73332736,3,Photo & Video,5,0.99
262,340769953,Trenches,37340259,1,Games,0,0.99
263,340779800,The Christmas List,26137600,2,Shopping,0,1.99
267,341691394,Refills Calendar - Scheduler - Note,35864576,4,Productivity,5,9.99
268,341776037,5-0 Radio Pro Police Scanner (Extra Feeds),49594368,3,News,5,3.99
269,342115564,Hipstamatic,114081792,3,Photo & Video,5,2.99
271,342548956,TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF,8821760,2,Business,5,4.99
272,342602105,Positivity with Andrew Johnson,69513216,3,Health & Fitness,4,2.99
273,342699962,Rat On A Scooter XL,7767040,1,Games,3,0.99
277,343638336,Video Calls with Santa,27997184,5,Lifestyle,0,2.99
279,344065205,The Font Game,5415000,2,Games,0,1.99
281,344186162,Grand Theft Auto: Chinatown Wars,878883840,4,Games,5,4.99
283,345445479,The Sims 3 World Adventures,812758016,1,Games,4,2.99
287,346513173,"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",21450752,4,Entertainment,0,0.99
289,347310316,All-in-1 Logic GameBox,22299021,1,Games,0,0.99
290,347393479,Roadside America,10231808,1,Travel,0,2.99
291,347400507,Pocket Yoga,132480000,5,Health & Fitness,5,2.99
292,347411942,Sonic the Hedgehog 2,47182848,3,Games,5,2.99
293,347418999,Simply Being - Guided Meditation for Relaxation and Presence,100048896,6,Health & Fitness,2,1.99
294,347803339,CamCard - Business card scanner & reader,174839808,7,Business,0,0.99
295,348530331,This American Life,13725696,3,Entertainment,4,2.99
296,348543978,Timetracks - Slit-Scan Camera,11369472,2,Photo & Video,4,0.99
298,349079731,DOUBUTSU URANAI®-Animal Fortune-,38718464,2,Lifestyle,0,0.99
299,349276209,Doodle Army,17879270,3,Games,0,0.99
301,350480010,eBook: War and Peace,8039424,7,Book,5,3.99
302,350642635,Plants vs. Zombies,105379840,1,Games,0,0.99
307,351707231,Flick Kick Field Goal,75612160,1,Games,5,1.99
309,351939099,"Dungeons & Such Treasures,Collectibles and Dragons",84469760,3,Games,1,2.99
310,351986992,"StarMap 3D+: Night Sky, Astronomy, Star View Guide",100368384,3,Education,5,3.99
311,352000376,Shift Worker,7344128,1,Productivity,0,1.99
312,352041837,"Spy Calc - Hide pictures, videos, documents",25097281,3,Utilities,0,1.99
314,352247139,MyNetDiary PRO - Calorie Counter and Food Diary,83851264,5,Health & Fitness,0,3.99
316,352670055,F-Sim Space Shuttle,76394496,2,Games,5,4.99
318,353372460,Learn to Speak Spanish Fast With MosaLingua,48819200,9,Education,5,4.99
319,353573707,"Coaster VR, Extreme Endless 3D Stereograph",30977024,1,Entertainment,5,0.99
320,353603279,Parents Calling Easter Bunny,8073209,1,Lifestyle,0,1.99
321,353642901,Sporcle,15676416,5,Games,5,2.99
323,354051766,DOOM II RPG,48700821,1,Games,0,0.99
324,354655665,STREET FIGHTER IV,581353472,1,Games,0,4.99
325,354850853,Dr. Seuss Camera - The Cat in the Hat Edition,9906176,1,Photo & Video,0,0.99
326,354972939,FINAL FANTASY,114843648,1,Games,3,7.99
327,354974729,FINAL FANTASY II,199450624,1,Games,5,7.99
328,355524910,Worms 2: Armageddon,529755136,1,Games,5,4.99
330,355709084,Jourist Weltübersetzer,147066880,2,Travel,5,7.99
331,355940964,TeachMe: 1st Grade,90241024,4,Education,5,1.99
332,356618664,TeachMe: 3rd Grade,174268416,2,Education,5,1.99
335,357404131,Slow Shutter Cam,4466688,4,Photo & Video,5,1.99
336,357421934,PeakFinder Earth,35478528,3,Travel,3,4.99
338,357577420,"iWatermark - Watermark 1 or Batch of Photos. Watermarking with Text, Logo, & Graphics Overlays.",21771264,6,Photo & Video,5,1.99
339,357828853,Tabs & Chords by Ultimate Guitar - learn and play,103049216,3,Music,0,2.99
340,358055270,"Dude, your car!",40586240,2,Entertainment,0,0.99
341,358207332,Drawing Pad,220397568,2,Entertainment,5,1.99
344,360593530,Notability,122235904,6,Productivity,5,9.99
345,361231506,Rubik's® Cube,151954432,2,Games,5,1.99
346,362179828,Super Why! Power to Read,138047488,4,Education,5,3.99
348,362949845,Fruit Ninja Classic,104590336,2,Games,5,1.99
349,363201632,Animation Creator HD,32051200,1,Entertainment,5,3.99
350,363282253,Plants vs. Zombies HD,225859584,1,Games,5,0.99
351,363306776,SCRABBLE Premium for iPad,229992448,5,Games,5,9.99
352,363317633,Graphic - illustration and design,32604160,3,Productivity,5,8.99
353,363360636,Ship Finder,22948864,9,Navigation,1,4.99
354,363448251,Photogene ⁴,35422208,4,Photo & Video,5,2.99
355,363451838,Hurricane HD,32083968,3,Weather,5,3.99
356,363486802,Star Walk HD - Night Sky Map,150221824,7,Education,5,4.99
357,363486833,Space War HD,30270464,5,Games,2,0.99
359,363738376,forScore,35717120,1,Music,5,9.99
360,363992049,ComicGlass [ComicReader],31955968,9,Utilities,5,2.99
361,363998953,iAnnotate PDF,44099584,3,Productivity,5,9.99
362,364017607,ArtStudio for iPad - Draw Sketch and Paint,34310144,5,Photo & Video,5,4.99
363,364159440,Call of Duty: Zombies HD,35602607,1,Games,4,4.99
364,364165557,Small World 2,234123264,2,Games,5,1.99
367,364204209,Fieldrunners for iPad,219693056,1,Games,5,3.99
370,364267763,Do Not Press The Red Button HD,10907191,1,Entertainment,3,1.99
371,364500115,"Digits, the calculator for humans",4177920,2,Productivity,5,3.99
372,364502063,"PDF Reader Pro Edition - Annotate,edit & sign PDFs",62978048,8,Business,5,9.99
373,364733950,National Geographic World Atlas,66138112,4,Reference,5,1.99
374,364738545,FileBrowser - Access files on remote computers,68073472,9,Utilities,5,5.99
376,364762290,Animation & Drawing by Do Ink,33857536,4,Education,5,4.99
377,364899325,AirCoaster - Roller Coaster Builder,22763520,2,Games,4,0.99
379,364904019,The World Factbook for iPad,73224192,1,Reference,5,1.99
382,365724094,Ski Tracks,24851456,1,Navigation,0,0.99
383,366195670,The Photographer's Ephemeris,58463232,3,Photo & Video,5,8.99
386,366626332,"Runtastic PRO Running, Jogging and Fitness Tracker",149536768,7,Health & Fitness,0,4.99
389,367242040,The Impossible Game,14160896,1,Games,0,0.99
392,367706767,Live Cams - HD,37161984,2,Travel,5,4.99
396,369111608,iBunkoHD,40479744,3,Book,5,6.99
397,369266386,Hurricane Tracker For iPad,10612736,4,Weather,5,2.99
399,369820957,AudioNote - Notepad and Voice Recorder,33213440,6,Business,4,9.99
400,369838631,Breathing Zone: Guided Breathing for Mindfulness,37140480,3,Health & Fitness,5,3.99
401,369849199,My Virtual Girlfriend - Deluxe Dating Sim,144180224,3,Games,5,0.99
404,370144476,Math Ninja HD,25137152,1,Games,5,1.99
407,370899391,Captio - Email yourself with 1 tap,19054592,2,Productivity,3,1.99
409,371338715,Math Bingo,14602240,1,Education,5,2.99
410,372283316,▻Sudoku +,61595648,5,Games,5,4.99
414,373203236,GeoBee Challenge HD by National Geographic,35975168,2,Games,5,1.99
415,373236724,"OPlayer HD - video player, classic media streaming",127020032,3,Entertainment,5,4.99
416,373311252,TouchRetouch,27962368,4,Photo & Video,0,1.99
417,373342398,Cat Physics,14824448,1,Games,3,1.99
418,373454750,随手记（专业版）-好用的记账理财工具,83899392,1,Finance,0,0.99
419,373493387,AnkiMobile Flashcards,19371008,2,Education,5,24.99
420,373515261,WeatherPro for iPad,59475968,4,Weather,5,2.99
421,373563219,Real英会話,80203776,5,Education,5,3.99
422,373714084,BATTLE BEARS -1,227403527,1,Games,5,0.99
423,373849969,Crash Bandicoot Nitro Kart 2,75254654,1,Games,0,2.99
425,374151636,Popplet,4893696,2,Productivity,5,4.99
426,374211477,Notes Plus,109620224,5,Productivity,5,9.99
427,374308914,Color Splash for iPad,18752512,3,Photo & Video,5,1.99
428,374791544,Robot Unicorn Attack,52117504,3,Games,5,0.99
430,375295479,Carcassonne,359192576,4,Games,5,9.99
435,376374689,Doodle God™,121715712,3,Games,0,1.99
436,376412660,Carnivores: Dinosaur Hunter Pro,304654336,1,Games,5,2.99
438,376436174,"SEC Football Schedules, Scores & Radio",60380160,0,Sports,5,1.99
440,376561911,かなもじ,61272064,1,Education,5,3.99
442,377342622,360 Panorama,7954432,4,Photo & Video,5,1.99
444,377704407,Cake Doodle,99558400,1,Games,5,0.99
445,377831429,The Impossible Quiz! for iPad,16857290,1,Games,5,1.99
446,377908737,Boating USA,111196160,1,Navigation,0,9.99
447,377989827,Diptic,36705280,1,Photo & Video,5,2.99
448,378326916,Family Feud™ HD,79312792,1,Games,5,6.99
450,378781805,Auto Palmistry Premium,44349440,4,Entertainment,4,2.99
451,378782714,Drift Mania Championship,1178477568,1,Games,5,0.99
452,379256460,「宅建士」過去問題《受験用》,24444928,5,Education,0,3.99
453,379323382,Osmos for iPad,41772032,2,Games,5,4.99
456,379869627,Living Earth - Clock & Weather,169009152,3,Utilities,4,2.99
457,379937581,Sushi Cat,62373888,2,Games,5,0.99
459,380090605,Let's create! Pottery HD,175157248,1,Entertainment,5,4.99
460,380641055,Files HD Pro - File Manager & Web Browser,28118016,6,Utilities,5,4.99
461,380834987,Army Fitness APFT Calculator,15759360,2,Utilities,3,0.99
465,381059732,Week Calendar,81845248,1,Productivity,0,1.99
466,381342267,Stack the States®,132377600,2,Education,5,2.99
468,381477230,ゲーム発展国＋＋,191410176,2,Games,5,4.99
471,382013715,SuperCam_Pro,27815936,4,Business,0,1.99
472,382045106,カロリー管理（痩せるアプリ）,44402688,5,Health & Fitness,0,3.99
475,382509315,Splashtop Personal - Remote Desktop,55986176,2,Business,5,4.99
478,382991304,Osmos,33989632,2,Games,0,2.99
480,383718755,Decide Now!,3462144,2,Entertainment,5,0.99
481,383819300,"Ringtone Designer Pro - Create Unlimited Ringtones, Text Tones, Email Alerts, and More!",3462266,1,Music,0,0.99
482,384282298,The Secret of Grisly Manor,51794944,1,Games,5,0.99
484,385145330,Pocketbooth - the photo booth in your pocket,72586240,3,Photo & Video,5,0.99
486,385533456,The Incident,19534848,1,Games,5,0.99
488,385756768,Dictionary.com Dictionary & Thesaurus Premium,108836864,7,Reference,0,3.99
492,386239683,Reckless Racing HD,77139968,1,Games,5,0.99
493,386241770,Bloons Super Monkey,28566528,1,Games,5,0.99
498,387428400,Infinity Blade,624107810,1,Games,5,0.99
501,388130466,iSlash,27619328,1,Games,0,0.99
502,388336485,Ugly Meter™,30441472,4,Entertainment,4,0.99
504,388459613,Carbs & Cals - Diet & Diabetes,209295360,4,Health & Fitness,5,4.99
505,388462078,2XL Supercross HD,270729216,1,Games,5,4.99
508,388624839,CamScanner +| PDF Document Scanner and OCR,98450432,4,Productivity,0,0.99
509,388633565,Pocket Anatomy - Interactive 3D Human Anatomy and Physiology.,685733888,6,Medical,5,13.99
512,389204861,The Sims 3 Ambitions,444821504,1,Games,5,4.99
515,389543438,Der Feueralarm,30711808,1,Entertainment,5,0.99
518,389784247,Vernier Video Physics,40472576,3,Education,5,4.99
520,390017969,"Due — Reminders, Countdown Timers",32130048,2,Productivity,5,4.99
521,390109631,UFO on Tape,35359744,1,Games,3,0.99
522,390422167,Catan HD,812010496,4,Games,5,1.99
523,390523040,Polar Plunge ™,3700705,1,Games,0,0.99
526,391297152,Neuroshima Hex,511094784,3,Games,5,4.99
527,391304000,"Maps 3D PRO - GPS for Bike, Hike, Ski & Outdoor",25960448,4,Navigation,0,4.99
528,391432693,ArtRage,58826752,2,Entertainment,5,4.99
530,391855805,Spider Solitaire by MobilityWare,39446528,3,Games,5,4.99
533,392084834,Lane Splitter,106458112,5,Games,4,0.99
535,392188745,Noteshelf,117406720,1,Productivity,5,9.99
536,392198579,The Legend of Spookley the Square Pumpkin,36942848,2,Book,4,2.99
537,392252535,BUBBLE BOBBLE DOUBLE,56954817,2,Games,5,4.99
538,392408028,Paprika Recipe Manager,10432512,2,Food & Drink,5,4.99
539,392538848,ToonCamera,29494272,4,Photo & Video,5,1.99
