,size_mb,price,rating_count_tot,user_rating,prime_genre,sup_devices.num,lang.num,free_vs_paid,min_profit
0,96.12,3.99,21292,4.0,Games,38,10,paid,84955.08
1,151.23,0.0,161065,4.0,Productivity,37,23,free,0.0
2,95.87,0.0,188583,3.5,Weather,37,3,free,0.0
3,122.56,0.0,262241,4.0,Shopping,37,9,free,0.0
4,88.48,0.0,985920,4.5,Reference,37,45,free,0.0
5,10.0,0.99,8253,4.0,Games,47,1,paid,8170.47
6,217.24,0.0,119487,4.0,Finance,37,19,free,0.0
7,124.21,0.0,1126879,4.0,Music,37,1,free,0.0
8,46.97,9.99,1117,4.5,Utilities,37,1,paid,11158.83
9,66.78,3.99,7885,4.0,Games,38,10,paid,31461.15
10,47.32,4.99,76720,4.5,Games,38,11,paid,382832.8
11,217.01,7.99,105776,3.5,Games,37,6,paid,845150.24
12,171.64,0.0,479440,3.5,Utilities,37,33,free,0.0
13,153.47,0.0,119773,3.5,Finance,37,2,free,0.0
14,52.6,4.99,6340,4.5,Games,38,2,paid,31636.600000000002
15,198.28,0.0,56194,4.0,Travel,37,26,free,0.0
16,371.82,0.0,2974676,3.5,Social Networking,37,29,free,0.0
17,159.65,0.0,223885,4.0,Travel,37,18,free,0.0
18,140.28,0.0,402925,4.0,Music,37,16,free,0.0
19,10.24,2.99,31456,4.0,Games,47,1,paid,94053.44
20,67.43,1.99,2929,4.5,Reference,43,2,paid,5828.71
21,5.88,2.99,11447,5.0,Games,40,1,paid,34226.53
22,124.53,0.0,137951,4.0,Sports,37,6,free,0.0
23,67.91,5.99,8,4.5,Business,37,3,paid,47.92
24,10.89,3.99,3241,4.0,Music,43,10,paid,12931.59
25,179.31,0.0,5795,3.5,Health & Fitness,37,11,free,0.0
26,4.54,0.0,42316,3.0,Games,38,1,free,0.0
27,274.59,0.0,123215,3.5,Productivity,37,23,free,0.0
28,4.07,4.99,782,4.0,Music,43,1,paid,3902.1800000000003
29,164.77,9.99,3449,4.0,Weather,37,1,paid,34455.51
30,261.16,0.0,71856,3.5,Social Networking,37,23,free,0.0
31,38.35,1.99,13350,4.5,Health & Fitness,38,15,paid,26566.5
32,2.28,0.99,137,3.0,Entertainment,37,1,paid,135.63
33,100.55,0.0,180087,3.5,Games,37,5,free,0.0
34,42.08,0.99,33426,4.0,Health & Fitness,37,3,paid,33091.74
35,111.05,0.0,293228,4.0,Music,37,2,free,0.0
36,1.57,1.99,21609,3.5,Entertainment,40,1,paid,43001.909999999996
37,28.63,4.99,4684,4.0,Utilities,37,9,paid,23373.16
38,28.15,2.99,2104,4.5,Weather,37,1,paid,6290.96
39,63.77,2.99,41633,4.0,Games,37,1,paid,124482.67000000001
40,43.13,2.99,3610,4.5,Photo & Video,37,1,paid,10793.900000000001
41,121.57,0.0,4677,3.0,Music,37,21,free,0.0
42,42.19,3.99,30,3.5,Navigation,37,2,paid,119.7
43,102.98,0.0,48905,4.5,Music,37,12,free,0.0
44,7.67,4.99,32,3.0,Navigation,38,7,paid,159.68
45,35.49,0.0,446185,3.5,Travel,43,30,free,0.0
46,57.53,1.99,21825,3.0,Entertainment,37,1,paid,43431.75
47,96.18,0.0,508808,3.0,Games,38,10,free,0.0
48,69.38,0.0,57500,3.0,Sports,37,1,free,0.0
49,30.67,1.99,2576,4.0,Games,38,1,paid,5126.24
50,65.88,1.99,1572,4.0,Weather,37,13,paid,3128.28
51,78.24,2.99,3292,3.0,Business,37,2,paid,9843.08
52,143.24,4.99,8932,4.5,Education,37,12,paid,44570.68
53,190.48,0.0,495626,3.5,Weather,37,33,free,0.0
54,12.55,0.99,812,3.0,Lifestyle,38,7,paid,803.88
55,28.96,2.99,1583,3.5,Lifestyle,37,1,paid,4733.17
56,89.09,0.0,113936,4.5,Food & Drink,37,6,free,0.0
57,30.05,4.99,2027,4.0,Entertainment,37,33,paid,10114.73
58,24.79,3.99,768,4.0,Education,37,3,paid,3064.32
59,173.62,0.0,373835,4.0,Health & Fitness,37,1,free,0.0
60,132.33,0.0,108131,3.0,Shopping,37,1,free,0.0
61,12.94,0.99,18943,3.5,Games,47,1,paid,18753.57
62,127.5,0.0,126312,3.5,Shopping,37,8,free,0.0
63,52.65,4.99,35735,4.0,Games,40,1,paid,178317.65
64,44.75,4.99,410,3.0,Utilities,37,1,paid,2045.9
65,60.35,12.99,1390,4.5,Music,37,33,paid,18056.1
66,50.95,0.0,38,3.5,Music,37,4,free,0.0
67,37.68,0.0,233270,4.5,Finance,37,2,free,0.0
68,200.36,21.99,64,4.5,Reference,37,2,paid,1407.36
69,34.71,0.0,109349,3.5,Food & Drink,37,1,free,0.0
70,109.81,0.0,2229,3.5,News,37,1,free,0.0
71,53.87,1.99,14970,3.5,Navigation,37,1,paid,29790.3
72,173.51,0.0,144214,3.5,Weather,37,43,free,0.0
73,155.35,0.0,232940,4.0,Finance,37,1,free,0.0
74,93.56,0.0,48407,3.0,News,37,1,free,0.0
75,51.58,0.99,5531,3.5,Utilities,40,13,paid,5475.69
76,47.83,1.99,3393,4.0,Education,43,1,paid,6752.07
77,22.83,0.0,65016,3.5,Utilities,38,17,free,0.0
78,138.56,0.99,187529,4.0,Entertainment,43,1,paid,185653.71
79,133.87,0.0,33969,3.5,Health & Fitness,37,17,free,0.0
80,268.22,0.0,48822,3.5,Finance,37,1,free,0.0
81,63.61,1.99,59155,4.5,Games,40,1,paid,117718.45
82,161.88,0.0,252076,3.5,Book,37,9,free,0.0
83,39.76,1.99,4913,4.0,Games,37,15,paid,9776.87
84,117.19,0.0,1744,3.5,Finance,37,1,free,0.0
85,53.22,0.99,16567,4.5,Games,43,1,paid,16401.329999999998
86,180.2,0.0,187315,2.0,Games,37,9,free,0.0
87,21.16,2.99,4781,4.5,Music,37,10,paid,14295.19
88,63.1,3.99,94,4.5,Games,37,1,paid,375.06
89,26.83,0.99,29554,4.0,Photo & Video,37,3,paid,29258.46
90,26.67,0.99,32988,4.0,Games,47,1,paid,32658.12
91,127.07,0.0,373519,3.5,Social Networking,37,32,free,0.0
92,144.55,0.0,334293,4.0,Social Networking,37,16,free,0.0
93,25.82,1.99,2302,3.5,Photo & Video,37,1,paid,4580.98
94,96.57,0.0,60659,3.0,Social Networking,37,10,free,0.0
95,160.4,2.99,2562,4.0,Games,37,4,paid,7660.38
96,16.68,4.99,3042,3.5,Finance,37,11,paid,15179.58
97,4.99,0.99,338,2.5,Weather,43,1,paid,334.62
98,226.89,2.99,16434,4.5,Health & Fitness,37,9,paid,49137.66
99,222.7,2.99,10046,4.5,Health & Fitness,37,9,paid,30037.54
100,105.31,0.0,29107,3.0,News,37,10,free,0.0
101,45.56,1.99,878,4.0,Games,38,1,paid,1747.22
102,21.23,0.99,1140,3.5,Games,37,1,paid,1128.6
103,411.77,2.99,35074,4.5,Games,43,6,paid,104871.26000000001
104,114.78,0.0,59639,3.0,Sports,37,1,free,0.0
105,86.62,4.99,2913,4.0,Health & Fitness,43,1,paid,14535.87
106,29.37,0.0,39722,3.0,Photo & Video,37,1,free,0.0
107,144.38,0.0,81006,3.5,Entertainment,37,1,free,0.0
108,44.71,0.0,53465,3.5,Games,37,1,free,0.0
109,46.48,0.99,395261,4.5,Games,37,1,paid,391308.39
110,16.35,1.99,2021,4.5,Utilities,37,12,paid,4021.79
111,24.61,0.0,182,3.0,Entertainment,37,3,free,0.0
112,78.13,0.0,291787,4.0,Entertainment,37,1,free,0.0
113,18.55,1.99,2441,4.0,Utilities,38,12,paid,4857.59
114,113.19,0.99,1372,4.0,Games,37,1,paid,1358.28
115,690.24,249.99,773,4.0,Education,37,3,paid,193242.27000000002
116,106.12,0.0,200047,4.0,Reference,37,1,free,0.0
117,104.54,0.0,112,3.5,News,37,17,free,0.0
118,115.13,0.0,148160,4.5,Sports,37,1,free,0.0
119,65.32,0.0,108507,3.0,Utilities,37,2,free,0.0
120,116.5,0.0,46,3.0,Entertainment,37,1,free,0.0
121,116.65,0.0,51427,4.0,Photo & Video,37,1,free,0.0
122,16.22,0.99,53821,3.5,Games,43,1,paid,53282.79
123,3.52,0.0,38681,4.0,Business,37,28,free,0.0
124,29.93,0.99,17776,4.0,Games,37,11,paid,17598.24
125,128.79,0.0,287589,4.5,Social Networking,12,35,free,0.0
126,53.23,2.99,7308,4.0,Productivity,37,30,paid,21850.920000000002
127,126.49,0.0,342969,4.5,Lifestyle,37,1,free,0.0
128,258.19,4.99,6093,4.0,Games,37,7,paid,30404.07
129,37.98,4.99,5452,4.5,Games,38,1,paid,27205.48
130,54.67,0.0,43064,3.0,Finance,37,2,free,0.0
131,38.83,0.0,64,4.5,Music,37,14,free,0.0
132,134.6,0.0,220,4.5,Productivity,37,13,free,0.0
133,139.45,0.0,114096,4.5,Games,37,3,free,0.0
134,49.87,9.99,1296,4.0,Productivity,37,13,paid,12947.04
135,15.58,2.99,1293,4.0,Travel,37,11,paid,3866.07
136,156.77,0.0,19946,4.0,Finance,37,1,free,0.0
137,43.59,0.0,88613,4.0,Entertainment,37,1,free,0.0
138,15.34,0.99,107727,3.5,Games,37,1,paid,106649.73
139,213.44,0.99,21416,4.5,Games,43,5,paid,21201.84
140,21.13,2.99,533,4.0,Games,37,9,paid,1593.67
141,19.59,2.99,32650,3.5,Music,43,1,paid,97623.5
142,124.59,0.0,164963,3.5,Social Networking,37,3,free,0.0
