,id,app_name,price_usd,prime_genre,size_bytes,avg_user_rating,tot_user_rating,pg_rating,numb_supp_devices,numb_supp_langs,numb_screenshots
1,281656475,PAC-MAN Premium,3.99,Games,100788224,4.0,21292,4+,38,10,5
2,281796108,Evernote,0.0,Productivity,158578688,4.0,161065,4+,37,23,5
3,281940292,WeatherBug,0.0,Weather,100524032,3.5,188583,4+,37,3,5
4,282614216,eBay,0.0,Shopping,128512000,4.0,262241,12+,37,9,5
5,282935706,Bible,0.0,Reference,92774400,4.5,985920,4+,37,45,5
6,283619399,Shanghai Mahjong,0.99,Games,10485713,4.0,8253,4+,47,1,5
7,283646709,PayPal,0.0,Finance,227795968,4.0,119487,4+,37,19,0
8,284035177,Pandora,0.0,Music,130242560,4.0,1126879,12+,37,1,4
9,284666222,PCalc,9.99,Utilities,49250304,4.5,1117,4+,37,1,5
10,284736660,Ms. PAC-MAN,3.99,Games,70023168,4.0,7885,4+,38,10,0
11,284791396,Solitaire by MobilityWare,4.99,Games,49618944,4.5,76720,4+,38,11,4
12,284815117,SCRABBLE Premium,7.99,Games,227547136,3.5,105776,4+,37,6,0
13,284815942,Google  Search made just for mobile,0.0,Utilities,179979264,3.5,479440,17+,37,33,4
14,284847138,Bank of America,0.0,Finance,160925696,3.5,119773,4+,37,2,0
15,284862767,FreeCell,4.99,Games,55153664,4.5,6340,4+,38,2,5
16,284876795,TripAdvisor Hotels Flights Restaurants,0.0,Travel,207907840,4.0,56194,4+,37,26,1
17,284882215,Facebook,0.0,Social Networking,389879808,3.5,2974676,4+,37,29,1
18,284910350,Yelp,0.0,Travel,167407616,4.0,223885,12+,37,18,5
19,284993459,Shazam,0.0,Music,147093504,4.0,402925,12+,37,16,3
20,285005463,Crash Bandicoot Nitro Kart 3D,2.99,Games,10735026,4.0,31456,4+,47,1,0
21,285946052,iQuran,1.99,Reference,70707916,4.5,2929,4+,43,2,0
22,286058814,Yahoo Sports,0.0,Sports,130583552,4.0,137951,4+,37,6,2
23,286070473,Mileage Log | Fahrtenbuch,5.99,Business,71203840,4.5,8,4+,37,3,5
24,286799607,Cleartune,3.99,Music,11423008,4.0,3241,4+,43,10,2
25,286906691,Lifesum  Inspiring healthy lifestyle app,0.0,Health & Fitness,188017664,3.5,5795,4+,37,11,5
26,286911400,Hangman.,0.0,Games,4765696,3.0,42316,9+,38,1,0
27,288113403,iTranslate,0.0,Productivity,287933440,3.5,123215,4+,37,23,5
28,288120394,TouchOSC,4.99,Music,4263936,4.0,782,4+,43,1,1
29,288419283,RadarScope,9.99,Weather,172772352,4.0,3449,4+,37,1,5
30,288429040,LinkedIn,0.0,Social Networking,273844224,3.5,71856,4+,37,23,2
31,289084315,Period Tracker Deluxe,1.99,Health & Fitness,40216576,4.5,13350,12+,38,15,0
32,289446241,Election 2016 Map,0.99,Entertainment,2386944,3.0,137,4+,37,1,1
33,289523017,Blackjack by MobilityWare,0.0,Games,105431040,3.5,180087,12+,37,5,5
34,289894882,White Noise,0.99,Health & Fitness,44129280,4.0,33426,4+,37,3,5
35,290638154,iHeartRadio  Free Music & Radio Stations,0.0,Music,116443136,4.0,293228,12+,37,2,5
36,290807369,Line Rider iRide,1.99,Entertainment,1646592,3.5,21609,9+,40,1,0
37,290986013,Deliveries,4.99,Utilities,30016512,4.0,4684,4+,37,9,4
38,291430598,Hurricane Pro,2.99,Weather,29518848,4.5,2104,17+,37,1,0
39,292421271,Fieldrunners,2.99,Games,66872320,4.0,41633,9+,37,1,0
40,292628469,Juxtaposer,2.99,Photo & Video,45229056,4.5,3610,4+,37,1,5
41,292738169,Deezer,0.0,Music,127470592,3.0,4677,12+,37,21,5
42,293118835,iStellar,3.99,Navigation,44241920,3.5,30,4+,37,2,0
43,293523031,Sonos Controller,0.0,Music,107983872,4.5,48905,4+,37,12,4
44,293573778,Avertinoo,4.99,Navigation,8044544,3.0,32,4+,38,7,5
45,293622097,Google Earth,0.0,Travel,37214208,3.5,446185,4+,43,30,5
46,293760823,iFart,1.99,Entertainment,60320768,3.0,21825,9+,37,1,5
47,293778748,PAC-MAN,0.0,Games,100849664,3.0,508808,4+,38,10,5
48,294056623,FOX Sports Mobile,0.0,Sports,72748032,3.0,57500,4+,37,1,0
49,294536447,First Words Animals,1.99,Games,32164864,4.0,2576,4+,38,1,5
50,294631159,WeatherPro,1.99,Weather,69079040,4.0,1572,4+,37,13,0
51,294934058,HotSchedules,2.99,Business,82037760,3.0,3292,4+,37,2,2
52,295430577,Star Walk,4.99,Education,150195200,4.5,8932,4+,37,12,0
53,295646461,The Weather Channel,0.0,Weather,199734272,3.5,495626,4+,37,33,0
54,295759189,Big Day,0.99,Lifestyle,13156352,3.0,812,4+,38,7,0
55,295775656,12 Steps AA Companion,2.99,Lifestyle,30367744,3.5,1583,12+,37,1,5
56,296581815,OpenTable,0.0,Food & Drink,93420544,4.5,113936,4+,37,6,1
57,297244048,VLC Remote,4.99,Entertainment,31505408,4.0,2027,4+,37,33,5
58,297332787,gFlashPro,3.99,Education,25997312,4.0,768,4+,37,3,3
59,297368629,Lose It!  Weight Loss Program and Calorie Counter,0.0,Health & Fitness,182054912,4.0,373835,4+,37,1,3
60,297430070,Target,0.0,Shopping,138754048,3.0,108131,4+,37,1,0
61,297606726,Fish Tycoon,0.99,Games,13564835,3.5,18943,4+,47,1,0
62,297606951,Amazon App,0.0,Shopping,133688320,3.5,126312,4+,37,8,5
63,297694601,Touchgrind,4.99,Games,55205888,4.0,35735,4+,40,0,0
64,298127110,ProPresenter Remote,4.99,Utilities,46922752,3.0,410,4+,37,1,5
65,298206806,iReal Pro,12.99,Music,63283200,4.5,1390,4+,37,33,5
66,298596830,NRJ Radio,0.0,Music,53426176,3.5,38,4+,37,4,5
67,298867247,Chase Mobile,0.0,Finance,39505920,4.5,233270,4+,37,2,0
68,299515267,Allrecipes Dinner Spinner,0.0,Food & Drink,36399104,3.5,109349,12+,37,1,5
69,299853944,-,0.0,News,115143680,3.5,2229,17+,37,1,0
70,299949744,MotionX GPS,1.99,Navigation,56481792,3.5,14970,4+,37,1,0
71,300048137,AccuWeather,0.0,Weather,181941248,3.5,144214,4+,37,43,1
72,300238550,Mint,0.0,Finance,162891776,4.0,232940,4+,37,1,5
73,300255638,ABC News,0.0,News,98108416,3.0,48407,12+,37,1,0
74,300265786,Rowmote,0.99,Utilities,54088704,3.5,5531,4+,40,13,3
75,300590611,Peekaboo Barn,1.99,Education,50155520,4.0,3393,4+,43,1,5
76,300704847,Speedtest by Ookla,0.0,Utilities,23936000,3.5,65016,4+,38,17,4
77,301387274,Pocket God,0.99,Entertainment,145293312,4.0,187529,9+,43,1,5
78,301521403,Nike+ Training Club,0.0,Health & Fitness,140367872,3.5,33969,4+,37,17,0
79,301724680,Citi Mobile,0.0,Finance,281244672,3.5,48822,4+,37,1,0
80,302049354,Phase 10 Pro,1.99,Games,66695168,4.5,59155,4+,40,1,5
81,302584613,"Kindle  Read eBooks, Magazines & Textbooks",0.0,Book,169747456,3.5,252076,4+,37,9,5
82,303058767,MASH,1.99,Games,41691136,4.0,4913,9+,37,15,3
83,303191318,-,0.0,Finance,122886144,3.5,1744,4+,37,1,0
84,303337299,Wedding Dash Deluxe,0.99,Games,55803904,4.5,16567,4+,43,1,4
85,303849934,Beer Pong Game,0.0,Games,188956672,2.0,187315,17+,37,9,5
86,304731501,Tempo,2.99,Music,22185984,4.5,4781,4+,37,10,5
87,304770340,Skat,3.99,Games,66160640,4.5,94,4+,37,1,0
88,304871603,Color Splash,0.99,Photo & Video,28135424,4.0,29554,4+,37,3,0
89,304871622,Zombieville USA,0.99,Games,27962441,4.0,32988,12+,47,1,5
90,304878510,Skype for iPhone,0.0,Social Networking,133238784,3.5,373519,4+,37,32,0
91,305343404,Tumblr,0.0,Social Networking,151573504,4.0,334293,17+,37,16,5
92,305557780,iSwap Faces,1.99,Photo & Video,27069440,3.5,2302,4+,37,1,5
