,price,user_rating
0,1.99,4.0
1,2.99,4.0
2,1.99,4.0
3,0.99,3.5
4,0.99,4.0
5,2.99,4.0
6,1.99,4.0
7,0.99,3.0
8,4.99,4.0
9,0.99,4.0
10,1.99,4.5
11,2.99,4.5
12,2.99,3.5
13,0.99,3.0
14,1.99,4.0
15,3.99,4.0
16,0.99,3.0
17,0.99,3.5
18,1.99,4.5
19,1.99,4.5
20,2.99,3.5
21,0.99,3.0
22,0.99,4.0
23,0.99,4.0
24,0.99,3.5
25,4.99,3.5
26,0.99,3.5
27,0.99,3.5
28,2.99,3.5
29,2.99,3.5
30,3.99,4.5
31,4.99,4.0
32,4.99,4.5
33,0.99,4.0
34,1.99,4.5
35,2.99,4.5
36,2.99,4.0
37,1.99,4.5
38,4.99,4.0
39,2.99,4.0
40,4.99,3.5
41,4.99,4.5
42,0.99,4.0
43,2.99,4.5
44,4.99,4.5
45,0.0,3.5
46,0.99,4.0
47,1.99,4.0
48,2.99,3.5
49,1.99,3.5
50,4.99,4.5
51,1.99,4.0
52,4.99,4.5
53,4.99,4.5
54,2.99,4.5
55,0.99,5.0
56,2.99,4.0
57,0.0,3.5
58,2.99,4.0
59,2.99,4.0
60,0.99,4.5
61,1.99,4.5
62,4.99,4.0
63,2.99,4.0
64,3.99,4.5
65,0.99,4.5
66,0.99,4.5
67,2.99,4.5
68,0.99,4.5
69,2.99,4.5
70,2.99,4.0
71,0.99,4.5
72,1.99,4.0
73,1.99,4.5
74,2.99,4.5
75,0.0,5.0
76,2.99,4.5
77,0.99,4.5
78,0.99,4.5
79,4.99,4.0
80,2.99,4.5
81,4.99,4.5
82,2.99,4.0
83,0.99,4.0
84,1.99,4.0
85,0.0,4.5
86,0.99,4.5
87,1.99,5.0
88,2.99,3.5
89,4.99,4.5
90,1.99,4.5
91,2.99,4.5
92,1.99,3.5
93,2.99,4.5
94,2.99,4.0
95,4.99,4.5
96,4.99,4.0
97,0.99,4.5
98,1.99,4.5
99,5.99,4.0
100,1.99,4.5
101,2.99,4.5
102,0.99,4.5
103,1.99,4.0
104,0.99,4.5
105,0.99,4.5
106,2.99,4.5
107,1.99,4.5
108,1.99,4.5
109,3.99,4.5
110,5.99,4.0
111,2.99,4.5
112,0.99,4.5
113,0.99,4.0
114,2.99,4.5
115,2.99,3.5
116,2.99,4.5
117,4.99,4.0
118,2.99,4.0
119,3.99,4.5
120,0.99,5.0
121,0.0,3.5
122,1.99,4.5
123,1.99,4.5
124,0.99,4.5
125,4.99,4.5
126,0.99,4.0
127,0.0,4.5
128,0.0,4.5
129,2.99,4.5
130,4.99,4.5
131,0.0,4.0
132,0.99,4.5
133,1.99,4.5
134,0.99,4.5
135,1.99,4.5
136,0.99,4.0
137,2.99,4.5
138,0.99,4.5
139,1.99,4.5
140,2.99,4.0
141,0.0,4.5
142,1.99,4.5
143,0.99,4.0
144,0.99,4.5
145,0.99,4.5
146,0.0,4.0
147,0.0,4.0
148,1.99,4.0
149,0.0,4.5
150,4.99,4.0
151,4.99,5.0
152,0.0,4.5
153,0.0,4.5
154,1.99,4.5
155,2.99,4.0
156,2.99,4.0
157,0.0,3.5
158,0.0,2.5
159,0.0,2.5
160,2.99,4.5
161,0.0,4.0
162,2.99,4.5
163,0.99,4.0
164,3.99,4.5
165,4.99,3.5
166,0.0,4.5
167,0.99,5.0
168,0.99,4.0
169,2.99,5.0
