,Genre,Count,Total ratings,User rating,Free,Payed
0,Games,3862,52878491,3.7,2257,1605
1,Entertainment,535,4030518,3.2,334,201
2,Education,453,1014371,3.4,132,321
3,Photo & Video,349,5008946,3.8,167,182
4,Utilities,248,1702228,3.3,109,139
5,Health & Fitness,180,1784371,3.7,76,104
6,Productivity,178,1433136,4.0,62,116
7,Social Networking,167,7598316,3.0,143,24
8,Lifestyle,144,887294,2.8,94,50
9,Music,138,3980199,4.0,67,71
10,Shopping,122,2271070,3.5,121,1
11,Sports,114,1599070,3.0,79,35
12,Book,112,574049,2.5,66,46
13,Finance,104,1148956,2.4,84,20
14,Travel,81,1144485,3.4,56,25
15,News,75,976130,3.0,58,17
16,Weather,72,1597034,3.6,31,41
17,Reference,64,1434294,3.5,20,44
18,Food & Drink,63,878133,3.2,43,20
19,Business,57,272921,3.7,20,37
20,Navigation,46,545282,2.7,20,26
21,Medical,23,13634,3.4,8,15
22,Catalogs,10,17325,2.1,9,1
