,order_id,customer_id,order_status,customer_city,customer_state,customer_lng,customer_lat,product_id,seller_id,price,freight_value,product_category_name,seller_city,seller_state,seller_lng,seller_lat
11390,71425ecd58b4f20236e557902a9743f7,27f23d8561167f6d79c935f4bd5c80a4,delivered,guanambi,BA,-42.783397700034726,-14.223207197286877,dd4c3b4ab7e001aaf385ea2e68952030,d673a59aac7a70d8b01e6902bf090a11,29.9,16.79,bebes,ibitinga,SP,-48.829743533437124,-21.757320637712766
29477,cf18f775a1b2dfec83732a8679b66ec2,765c6412dba8eafd16bbbe40a47ff0a6,delivered,itu,SP,-47.29782024690447,-23.255214180621863,ba6c0daba35afe2ee11400da4ec7b3a4,d566c37fa119d5e66c4e9052e83ee4ea,56.9,11.42,beleza_saude,sao paulo,SP,-46.617937272279974,-23.606343652836532
79462,a5f8be1ccc8cce1123e2201f43d98fbf,a40f8b46938a854129c47067fdd43c19,delivered,contagem,MG,-44.054695953243254,-19.967878760000023,c6336fa91fbd87c359e44f5dca5a90ed,4c2b230173bb36f9b240f2b8ac11786e,39.9,14.1,esporte_lazer,sao paulo,SP,-46.49867324185772,-23.584937418503813
77828,bd5d52497dd09bba18a9c06890c2e2c5,b81903860cd300ddda44b87124a88002,delivered,garanhuns,PE,-36.48701311044168,-8.884477212510253,11fd9d7ba552e1d28872e008acf1e050,cb8bcce248bb1fb274ba762d8b971456,139.9,34.78,cool_stuff,santa rita do sapucai,MG,-45.70752067761215,-22.247210939506793
84568,d29601cbe18ae8190a14e560a413b890,8de5fd2a823d3738c14291b302a72054,delivered,brasilia,DF,-47.884439188103585,-15.790766662964781,d061d81f407dcbadbe325a56a93d80a3,43f8c9950d11ecd03a0304a49e010da6,199.99,15.15,consoles_games,carapicuiba,SP,-46.819952770036906,-23.57251800195739
97496,523f24867a34e6e564dda4898935e05e,e02ca2aa7caad49e0b4b540e2344d983,delivered,sao jose dos campos,SP,-45.88784285021326,-23.224503345848692,3c883b9d3fd2d0ce448d4136349dc0a4,b39d7fe263ef469605dbb32608aee0af,55.0,12.83,cama_mesa_banho,ibitinga,SP,-48.829743533437124,-21.757320637712766
30570,0210f3225937e9d7702e0c3fff098b98,eb6ebc68d7ab6ad83e9d68dc1b707f1c,delivered,sao paulo,SP,-46.65340944414582,-23.56875503877107,81e61097d1704e63a1d881c02d76934a,e5a3438891c0bfdb9394643f95273d8e,13.3,8.11,fashion_bolsas_e_acessorios,limeira,SP,-47.44649444065284,-22.560755022881633
91442,f9556cd22578140995b4179fffee7c4a,260e209f14f2838911c24a44769dd980,delivered,vila velha,ES,-40.307218377608,-20.371280369661093,c1d14f1a3879495b9df24a6c48880642,d06d019f72a04e5497a0b64190af170c,76.99,16.51,beleza_saude,cotia,SP,-46.91199369968682,-23.59673234360231
100144,0650ef96422834cca0cc7799efbf6307,8e0193c71b2b59a05148996de6841d58,delivered,porto alegre,RS,-51.21366068095055,-30.041161395936463,6b42b1f7dfb74bb23a01605fbedd5b85,bf100ecb7997df312b285358fb32f92c,99.9,18.98,cool_stuff,sao jose dos pinhais,PR,-49.12503305036287,-25.520219665355693
73,c54125146b0e42fbe85ada6802c51f30,eb1992e3905f9f9085b031e36b98e4dc,delivered,araucaria,PR,-49.36104447895512,-25.544521880722876,595fac2a385ac33a80bd5114aec74eb8,289cdb325fb7e7f891c38608bf9e0962,116.9,17.75,perfumaria,belo horizonte,SP,-43.98042684085742,-19.807680657862143
93360,38776c227318fc6906defc2d197cb17a,ae22e15aa05dbb05e754b9cd2c4846ac,delivered,sao paulo,SP,-46.65679807275633,-23.461568105737417,d39d1b0a696aa782911206ec3c023ab1,5f3ae9136c875522250f8184f253413a,14.95,8.29,livros_tecnicos,sao paulo,SP,-46.61615054561147,-23.573056606592885
13790,2f3af8ee559ca3311975ba1ee20e94bc,f7c5a26a8b89e451921dee86a56ff29c,shipped,rio de janeiro,RJ,-43.359757778281065,-22.926256595321945,aca2eb7d00ea1a7b8ebd4e68314663af,955fee9216a65b617aa5c0531780ce60,75.0,20.02,moveis_decoracao,sao paulo,SP,-46.703810106207634,-23.691013046281814
72031,a3cc222e087c192327ea32dd0eb161cc,bc1b903e51b30e698b5ffa427457bbfb,delivered,praia grande,SP,-46.47823694263505,-24.026525667888205,9da950e8c8c482441f1b93955b21c827,ceaec5548eefc6e23e6607c5435102e7,215.0,13.41,cool_stuff,sao paulo,SP,-46.50334289873975,-23.494508960661726
16381,4aafdb1594ef5ea1e342d5c6f54d95ef,d4a8166779d8d8b3b662152300284c2d,delivered,rio de janeiro,RJ,-43.1736503654853,-22.909873939082534,52c80cedd4e90108bf4fa6a206ef6b03,a1043bafd471dff536d0c462352beb48,179.99,45.72,ferramentas_jardim,ilicinea,MG,-45.82723735222764,-20.9405775328866
